RCPS Problem 4 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 33/2+06:51
asm_1.step_002 21/2+00:00
asm_1.step_003 25/2+07:24
asm_1.step_004 9/2+06:26
asm_1.step_005 43/2+00:00
asm_1.step_006 34/1+04:46
asm_1.step_007 47/2+00:00
asm_1.step_008 45/1+00:30
asm_1.step_009 38/2+00:00
asm_1.step_010 30/2+07:24
asm_1.step_011 22/1+00:00
asm_1.step_012 3/2+01:32
asm_1.step_013 39/1+06:55
asm_1.step_014 27/1+03:54
asm_1.step_015 12/1+00:00
asm_1.step_016 27/2+07:24
asm_1.step_017 11/2+03:01
asm_1.step_018 9/2+00:00
asm_1.step_019 11/1+07:01
asm_1.step_020 47/2+04:00
asm_1.step_021 23/2+00:00
asm_1.step_022 6/1+02:30
asm_1.step_023 7/1+01:25
asm_1.step_024 33/1+00:00
asm_1.step_025 1/1+01:30
asm_1.step_026 9/2+04:25
asm_1.step_027 14/2+00:51
asm_1.step_028 55/2+05:30
asm_1.step_029 13/1+03:16
asm_1.step_030 14/2+00:12
asm_1.step_031 45/1+00:00
asm_1.step_032 33/1+00:36
asm_1.step_033 49/1+00:33
asm_1.step_034 9/2+02:25
asm_1.step_035 14/1+00:00
asm_1.step_036 13/1+00:31
asm_1.step_037 12/2+04:00
asm_1.step_038 23/1+04:00
asm_1.step_039 15/1+00:12
asm_1.step_040 27/2+03:54
asm_1.step_041 29/1+00:00
asm_1.step_042 47/2+05:00
asm_1.step_043 47/2+07:25
asm_1.step_044 13/1+02:31
asm_1.step_045 20/1+06:35
asm_1.step_046 34/1+05:01
asm_1.step_047 3/1+02:17
asm_1.step_048 3/1+04:04
asm_1.step_049 37/1+01:00
asm_1.step_050 10/2+01:46
asm_1.step_051 10/1+05:16
asm_1.step_052 53/1+06:30
asm_1.step_053 27/1+03:54
asm_1.step_054 12/1+00:07
asm_1.step_055 49/1+04:33
asm_1.step_056 29/2+07:24
asm_1.step_057 3/2+00:45
asm_1.step_058 6/1+04:00
asm_1.step_059 20/2+01:32
asm_1.step_060 48/1+00:00
asm_1.step_061 21/2+00:00
asm_1.step_062 17/1+05:42
asm_1.step_063 25/2+04:59
asm_1.step_064 51/2+00:28
asm_1.step_065 5/1+00:45
asm_1.step_066 4/1+00:45
asm_1.step_067 17/2+05:42
asm_1.step_068 23/1+00:45
asm_1.step_069 33/2+05:51
asm_1.step_070 24/1+00:00
asm_1.step_071 27/1+06:24
asm_1.step_072 32/1+00:00
asm_1.step_073 22/1+03:57
asm_1.step_074 48/1+00:00
asm_1.step_075 8/1+01:55
asm_1.step_076 48/1+02:25
asm_1.step_077 8/1+02:55
asm_1.step_078 13/2+00:00
asm_1.step_079 30/1+07:24
asm_1.step_080 24/1+02:25
asm_1.step_081 13/1+00:00
asm_1.step_082 16/1+02:25
asm_1.step_083 46/1+00:00
asm_1.step_084 5/2+05:21
asm_1.step_085 21/1+01:32
asm_1.step_086 7/2+07:11
asm_1.step_087 24/1+00:00
asm_1.step_088 23/2+00:00
asm_1.step_089 2/1+04:15
asm_1.step_090 11/2+06:37
asm_1.step_091 23/1+05:10
asm_1.step_092 3/1+03:02
asm_1.step_093 33/2+00:00
asm_1.step_094 27/2+03:54
asm_1.step_095 27/1+04:24
asm_1.step_096 13/1+00:31
asm_1.step_097 8/1+02:55
asm_1.step_098 42/1+00:00
asm_1.step_099 4/1+07:10
asm_1.step_100 48/1+04:00
asm_1.step_101 28/2+00:24
asm_1.step_102 21/1+03:02
asm_1.step_103 18/1+04:12
asm_1.step_104 53/1+07:03
asm_1.step_105 22/1+04:57
asm_1.step_106 1/1+02:25
asm_1.step_107 15/2+00:12
asm_1.step_108 4/1+05:04
asm_1.step_109 2/2+00:45
asm_1.step_110 6/1+02:30
asm_1.step_111 55/2+06:30
asm_1.step_112 33/2+07:21
asm_1.step_113 40/2+00:00
asm_1.step_114 18/1+03:01
asm_1.step_115 48/1+00:10
asm_1.step_116 19/1+00:00
asm_1.step_117 17/1+00:00
asm_1.step_118 22/2+02:10
asm_1.step_119 43/1+00:00
asm_1.step_120 13/2+00:31
asm_1.step_121 15/2+02:12
asm_1.step_122 6/1+02:30
asm_1.step_123 22/2+00:00
asm_1.step_124 22/1+02:45
asm_1.step_125 15/2+04:42
asm_1.step_126 10/1+01:28
asm_1.step_127 15/1+00:46
asm_1.step_128 55/2+03:30
asm_1.step_129 16/1+00:00
asm_1.step_130 34/1+02:25
asm_1.step_131 8/2+02:55
asm_1.step_132 35/2+00:00
asm_1.step_133 28/1+07:24
asm_1.step_134 50/2+02:25
asm_1.step_135 16/1+01:37
asm_1.step_136 10/2+06:31
asm_1.step_137 14/1+00:00
asm_1.step_138 18/1+01:00
asm_1.step_139 2/1+01:20
asm_1.step_140 13/2+02:56
asm_1.step_141 18/1+03:31
asm_1.step_142 25/1+00:00
asm_1.step_143 18/2+04:12
asm_1.step_144 7/1+05:10
asm_1.step_145 3/2+01:17
asm_1.step_146 14/1+00:00
asm_1.step_147 48/2+00:10
asm_1.step_148 14/1+00:01
asm_1.step_149 14/1+03:06
asm_1.step_150 32/2+01:12
asm_1.step_151 28/1+00:00
asm_1.step_152 51/1+02:25
asm_1.step_153 23/1+01:45
asm_1.step_154 13/1+03:46
asm_1.step_155 33/1+00:06
asm_1.step_156 29/1+00:24
asm_1.step_157 32/1+00:12
asm_1.step_158 23/1+01:45
asm_1.step_159 22/2+00:00
asm_1.step_160 34/1+00:51
asm_1.step_161 6/2+02:30
asm_1.step_162 6/1+02:30
asm_1.step_163 4/2+00:45
asm_1.step_164 35/1+00:00
asm_1.step_165 21/1+00:00
asm_1.step_166 48/2+00:55
asm_1.step_167 49/2+03:33
asm_1.step_168 16/2+00:00
asm_1.step_169 6/1+02:30
asm_1.step_170 33/2+02:25
asm_1.step_171 29/2+00:24
asm_1.step_172 6/1+02:30
asm_1.step_173 50/2+00:00
asm_1.step_174 51/2+06:53
asm_1.step_175 1/1+00:00
asm_1.step_176 5/2+03:20
asm_1.step_177 22/1+00:00
asm_1.step_178 34/1+02:21
asm_1.step_179 52/2+06:30
asm_1.step_180 7/1+05:10
asm_1.step_181 17/1+00:00
asm_1.step_182 28/1+00:24
asm_1.step_183 13/2+05:21
asm_1.step_184 29/2+00:54
asm_1.step_185 32/2+00:00
asm_1.step_186 22/1+01:00
asm_1.step_187 49/1+00:00
asm_1.step_188 11/1+00:00
asm_1.step_189 30/1+00:54
asm_1.step_190 52/1+03:00
asm_1.step_191 13/1+05:31
asm_1.step_192 46/2+00:00
asm_1.step_193 56/1+03:15
asm_1.step_194 22/1+00:00
asm_1.step_195 11/1+02:01
asm_1.step_196 5/2+05:45
asm_1.step_197 36/1+00:00
asm_1.step_198 24/1+04:00
asm_1.step_199 12/1+02:01
asm_1.step_200 1/2+02:25
asm_1.step_201 27/1+04:54
asm_1.step_202 32/1+00:00
asm_1.step_203 23/1+00:00
asm_1.step_204 22/1+01:00
asm_1.step_205 2/1+02:05
asm_1.step_206 48/2+00:33
asm_1.step_207 8/1+05:20
asm_1.step_208 19/2+06:37
asm_1.step_209 31/1+07:24
asm_1.step_210 12/2+06:25
asm_1.step_211 5/2+03:50
asm_1.step_212 20/2+02:32
asm_1.step_213 33/1+00:00
asm_1.step_214 19/1+04:00
asm_1.step_215 26/2+04:59
asm_1.step_216 39/2+02:25
asm_1.step_217 11/1+03:01
asm_1.step_218 19/1+05:00
asm_1.step_219 10/1+04:03
asm_1.step_220 30/1+00:00
asm_1.step_221 29/2+07:24
asm_1.step_222 48/1+04:37
asm_1.step_223 37/1+00:00
asm_1.step_224 8/2+05:58
asm_1.step_225 10/1+04:30
asm_1.step_226 4/1+04:04
asm_1.step_227 18/2+06:37
asm_1.step_228 1/1+01:00
asm_1.step_229 5/2+03:20
asm_1.step_230 10/1+02:25
asm_1.step_231 5/2+07:22
asm_1.step_232 14/2+00:12
asm_1.step_233 14/1+02:30
asm_1.step_234 11/2+02:01
asm_1.step_235 19/1+06:37
asm_1.step_236 6/1+04:31
