RCPS Problem 3 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 35/1+06:15
asm_1.step_002 22/1+00:00
asm_1.step_003 25/2+00:00
asm_1.step_004 8/2+02:01
asm_1.step_005 44/2+00:00
asm_1.step_006 36/1+04:55
asm_1.step_007 48/2+00:00
asm_1.step_008 46/2+00:00
asm_1.step_009 39/2+00:00
asm_1.step_010 32/1+00:00
asm_1.step_011 22/1+00:00
asm_1.step_012 4/2+06:35
asm_1.step_013 40/2+00:00
asm_1.step_014 24/2+00:00
asm_1.step_015 13/1+00:00
asm_1.step_016 28/1+00:00
asm_1.step_017 13/1+00:00
asm_1.step_018 10/2+00:00
asm_1.step_019 9/1+06:28
asm_1.step_020 48/2+04:00
asm_1.step_021 24/1+00:00
asm_1.step_022 7/1+02:30
asm_1.step_023 9/1+00:00
asm_1.step_024 31/1+00:00
asm_1.step_025 1/1+01:30
asm_1.step_026 8/2+00:00
asm_1.step_027 16/1+00:00
asm_1.step_028 56/2+06:00
asm_1.step_029 11/1+06:08
asm_1.step_030 16/1+00:00
asm_1.step_031 46/1+00:00
asm_1.step_032 34/2+00:00
asm_1.step_033 50/2+00:00
asm_1.step_034 11/2+02:25
asm_1.step_035 15/1+00:00
asm_1.step_036 14/1+00:00
asm_1.step_037 9/2+04:00
asm_1.step_038 24/1+04:00
asm_1.step_039 16/2+00:00
asm_1.step_040 29/1+00:00
asm_1.step_041 29/2+00:00
asm_1.step_042 48/2+05:00
asm_1.step_043 49/1+00:00
asm_1.step_044 11/1+05:23
asm_1.step_045 21/1+04:00
asm_1.step_046 36/1+05:10
asm_1.step_047 4/1+00:00
asm_1.step_048 3/1+00:00
asm_1.step_049 38/1+01:00
asm_1.step_050 11/1+05:23
asm_1.step_051 8/2+03:01
asm_1.step_052 54/1+00:00
asm_1.step_053 23/2+07:00
asm_1.step_054 12/1+05:44
asm_1.step_055 50/2+04:00
asm_1.step_056 29/2+00:00
asm_1.step_057 4/1+00:00
asm_1.step_058 7/2+00:00
asm_1.step_059 21/2+00:00
asm_1.step_060 49/1+00:00
asm_1.step_061 22/2+00:00
asm_1.step_062 18/1+00:00
asm_1.step_063 27/1+00:00
asm_1.step_064 52/1+00:00
asm_1.step_065 5/2+00:00
asm_1.step_066 4/2+00:00
asm_1.step_067 17/2+00:00
asm_1.step_068 24/1+00:00
asm_1.step_069 35/1+05:15
asm_1.step_070 25/1+00:00
asm_1.step_071 28/1+04:00
asm_1.step_072 30/2+00:00
asm_1.step_073 17/1+06:30
asm_1.step_074 49/1+00:00
asm_1.step_075 6/1+04:00
asm_1.step_076 49/1+02:25
